region,code,name
TL.M1,TL.M1.SD1,Iliomar Subdistrict
TL.M1,TL.M1.SD2,Lautém Subdistrict
TL.M1,TL.M1.SD3,Lospalos Subdistrict
TL.M1,TL.M1.SD4,Luro Subdistrict
TL.M1,TL.M1.SD5,Tutuala Subdistrict
TL.M10,TL.M10.SD45,Ainaro Subdistrict
TL.M10,TL.M10.SD46,Hato-Udo Subdistrict
TL.M10,TL.M10.SD47,Hatu-Builico Subdistrict
TL.M10,TL.M10.SD48,Maubisse Subdistrict
TL.M11,TL.M11.SD49,Atabae Subdistrict
TL.M11,TL.M11.SD50,Balibó Subdistrict
TL.M11,TL.M11.SD51,Bobonaro Subdistrict
TL.M11,TL.M11.SD52,Cailaco Subdistrict
TL.M11,TL.M11.SD53,Lolotoe Subdistrict
TL.M11,TL.M11.SD54,Maliana Subdistrict
TL.M12,TL.M12.SD55,Fatululic Subdistrict
TL.M12,TL.M12.SD56,Fatumean Subdistrict
TL.M12,TL.M12.SD57,Fohorem Subdistrict
TL.M12,TL.M12.SD58,Maucatar Subdistrict
TL.M12,TL.M12.SD59,Suai Subdistrict
TL.M12,TL.M12.SD60,Tilomar Subdistrict
TL.M12,TL.M12.SD61,Zumalai Subdistrict
TL.M13,TL.M13.SD62,Nitibe Subdistrict
TL.M13,TL.M13.SD63,Oesilo Subdistrict
TL.M13,TL.M13.SD64,Pante Macassar Subdistrict
TL.M13,TL.M13.SD65,Passabe Subdistrict
TL.M2,TL.M2.SD6,Baguia Subdistrict
TL.M2,TL.M2.SD7,Baucau Subdistrict
TL.M2,TL.M2.SD8,Laga Subdistrict
TL.M2,TL.M2.SD9,Quelicai Subdistrict
TL.M2,TL.M2.SD10,Vemasse Subdistrict
TL.M2,TL.M2.SD11,Venilale Subdistrict
TL.M3,TL.M3.SD12,Lacluta Subdistrict
TL.M3,TL.M3.SD13,Ossu Subdistrict
TL.M3,TL.M3.SD14,Uato-Lari Subdistrict
TL.M3,TL.M3.SD15,Uatucarbau Subdistrict
TL.M3,TL.M3.SD16,Viqueque Subdistrict
TL.M4,TL.M4.SD17,Barique Subdistrict
TL.M4,TL.M4.SD18,Laclo Subdistrict
TL.M4,TL.M4.SD19,Laclubar Subdistrict
TL.M4,TL.M4.SD20,Laleia Subdistrict
TL.M4,TL.M4.SD21,Manatuto Subdistrict
TL.M4,TL.M4.SD22,Soibada Subdistrict
TL.M5,TL.M5.SD23,Atauro Subdistrict
TL.M5,TL.M5.SD24,Cristo Rei Subdistrict
TL.M5,TL.M5.SD25,Dom Aleixo Subdistrict
TL.M5,TL.M5.SD26,Metinaro Subdistrict
TL.M5,TL.M5.SD27,Nain Feto Subdistrict
TL.M5,TL.M5.SD28,Vera Cruz Subdistrict
TL.M6,TL.M6.SD29,Aileu Administrative Post
TL.M6,TL.M6.SD30,Laulara Subdistrict
TL.M6,TL.M6.SD31,Lequidoe Subdistrict
TL.M6,TL.M6.SD32,Remexio Subdistrict
TL.M7,TL.M7.SD33,Alas Subdistrict
TL.M7,TL.M7.SD34,Fatuberlio Subdistrict
TL.M7,TL.M7.SD35,Same Subdistrict
TL.M7,TL.M7.SD36,Turiscai Subdistrict
TL.M8,TL.M8.SD37,Bazartete Subdistrict
TL.M8,TL.M8.SD38,Liquiçá Subdistrict
TL.M8,TL.M8.SD39,Maubara Subdistrict
TL.M9,TL.M9.SD40,Atsabe Subdistrict
TL.M9,TL.M9.SD41,Ermera Subdistrict
TL.M9,TL.M9.SD42,Hatólia Subdistrict
TL.M9,TL.M9.SD43,Letefoho Subdistrict
TL.M9,TL.M9.SD44,Railaco Subdistrict
